synonym	primary
CBX6	CBX6
PCP4L1	PCP4L1
SHISA2	SHISA2
PDE1C	PDE1C
ZNF804A	ZNF804A
PRKRIP1	PRKRIP1
MTA3	MTA3
IPO5	IPO5
TSKU	TSKU
COPS5	COPS5
HPS5	HPS5
EIF1AD	EIF1AD
ZNF571	ZNF571
VRK3	VRK3
RASD2	RASD2
SHARPIN	SHARPIN
AEBP2	AEBP2
DPF3	DPF3
ZNF234	ZNF234
NOXA1	NOXA1
F13B	F13B
SYT2	SYT2
MACROD1	MACROD1
UBE2L3	UBE2L3
SSU72L6	SSU72L6
DSC2	DSC2
RNF145	RNF145
NOXO1	NOXO1
UCN	UCN
KLF6	KLF6
MT-ND6	MT-ND6
CPLX2	CPLX2
TIAM2	TIAM2
C9orf40	C9orf40
RGPD1	RGPD1
OR2J1	OR2J1
NECTIN4	NECTIN4
CDK18	CDK18
CRB3	CRB3
CEP89	CEP89
PRUNE1	PRUNE1
CRYL1	CRYL1
YDJC	YDJC
TMEM203	TMEM203
SMAD3	SMAD3
MYH10	MYH10
SPOCK2	SPOCK2
NOB1	NOB1
CDNF	CDNF
TRPM5	TRPM5
RFC2	RFC2
C20orf141	C20orf141
EDDM13	EDDM13
CLEC5A	CLEC5A
DOCK8	DOCK8
GNPDA2	GNPDA2
OR10W1	OR10W1
IMMP1L	IMMP1L
SLC25A10	SLC25A10
C11orf96	C11orf96
CYP1B1	CYP1B1
SIK3	SIK3
TMEM53	TMEM53
HLA-DQB1	HLA-DQB1
ARHGEF6	ARHGEF6
COX10	COX10
NFE2L1	NFE2L1
C6orf118	C6orf118
FEZ1	FEZ1
DNAJC27	DNAJC27
PRM3	PRM3
H2AC1	H2AC1
PRRX1	PRRX1
XPNPEP2	XPNPEP2
OR52K1	OR52K1
AKR1A1	AKR1A1
CCDC30	CCDC30
FBXO46	FBXO46
ITGAM	ITGAM
VWA1	VWA1
UBA6	UBA6
LYPLA1	LYPLA1
CEP83	CEP83
PRRC2C	PRRC2C
OR10Q1	OR10Q1
DYNLT1	DYNLT1
FAM227A	FAM227A
OR6Q1	OR6Q1
MRPS18A	MRPS18A
ZNF843	ZNF843
IFI27	IFI27
SAT2	SAT2
GOLGA5	GOLGA5
OR5I1	OR5I1
WDR62	WDR62
C3orf85	C3orf85
KIAA1958	KIAA1958
GABRR3	GABRR3
IQCM	IQCM
SKOR1	SKOR1
FA2H	FA2H
TWF1	TWF1
TBC1D31	TBC1D31
KRT78	KRT78
ZDHHC20	ZDHHC20
AKAP3	AKAP3
GOLGA8K	GOLGA8K
CNTNAP3	CNTNAP3
SGCE	SGCE
RIMBP3B	RIMBP3B
SERF2	SERF2
RFLNA	RFLNA
PKHD1	PKHD1
ZNF12	ZNF12
LORICRIN	LORICRIN
ZNF438	ZNF438
REV3L	REV3L
FBXW2	FBXW2
DUOX2	DUOX2
EGLN3	EGLN3
TRIM51	TRIM51
EPM2AIP1	EPM2AIP1
ANGPT4	ANGPT4
ARG1	ARG1
FOXF1	FOXF1
HLA-DMA	HLA-DMA
KAT14	KAT14
TSGA13	TSGA13
TMEM67	TMEM67
UBASH3B	UBASH3B
EPHA10	EPHA10
LMOD2	LMOD2
LDHB	LDHB
CEACAM1	CEACAM1
OTC	OTC
NDUFS2	NDUFS2
CRLS1	CRLS1
LIX1	LIX1
OR10G8	OR10G8
ACTBL2	ACTBL2
INSM2	INSM2
KRTAP22-1	KRTAP22-1
TNFRSF12A	TNFRSF12A
PLOD1	PLOD1
ACE2	ACE2
SPEM2	SPEM2
FZD9	FZD9
CYB561A3	CYB561A3
GLT6D1	GLT6D1
PACSIN1	PACSIN1
ZSCAN5C	ZSCAN5C
GET4	GET4
MZT2A	MZT2A
SSH1	SSH1
TVP23C-CDRT4	TVP23C-CDRT4
NFIB	NFIB
FAM236C	FAM236C
LETM2	LETM2
MPZ	MPZ
FOXD4L3	FOXD4L3
SPAG11B	SPAG11B
RANBP17	RANBP17
TBC1D20	TBC1D20
LRRC27	LRRC27
TBC1D15	TBC1D15
EZH1	EZH1
COMTD1	COMTD1
CALN1	CALN1
SSBP4	SSBP4
ART3	ART3
MAML1	MAML1
H2AC15	H2AC15
CCNB1IP1	CCNB1IP1
